name,Topic,Keep?,learnerCategory,Sorting ID,Depends On,Learning Objectives,subTopic,OSPO Relevance,about,abstract,accessibilitySummary,url,oss_role,audience,author,competencyRequired,contributor,creativeWorkStatus,dateCreated,dateModified,datePublished,description,educationalLevel,hasPart,identifier,inLanguage,isPartOf,Notes,keywords,learningResourceType,license,mentions,recordedAt,teaches,timeRequired,version,workTranslation,slug,@id
R Packaging,"Packaging, R",Keep candidate,Maintaining and Sustaining Software ,12,49 - Intermediate R | 40 - R Basics | 13 - Introduction to Git,"Understand what a package is; 
Understand why a package is useful;
Understand the tools used to create a package;
Install packages from other locations, such as GitHub;
Build, install and attach your own packages;
Learn how to add a license to a new R package;
Learn how to create a battery of basic tests;",,Moderate,,This workshop will provide you with the basics for writing your own packages in R.,,https://carpentries-incubator.github.io/lesson-R-packaging/,"Contributor, Maintainer",,The Carpentries Incubator,,,beta,,,,,,,https://github.com/carpentries-incubator/lesson-R-packaging,,,,lesson-materials lessons-page best-practices r,,CC-BY,,,,,,,r-packaging,https://education.ucospo.net/lessons/r-packaging
Introduction to Git,Git/Beg. VCS,Keep candidate,Contributing to a Project,13,,,,Moderate,,"This lesson introduces the basics of Git for version control, focusing on how to track changes, work with repositories, and manage a project‚Äôs history using Git.",,https://coderefinery.github.io/git-intro/,"Contributor, Maintainer","Beginners, Researchers, Software Developers",CodeRefinery Team,Basic understanding of the command line,,active,2021-04-10T10:00:00+00:00,2023-03-10T14:40:12+00:00,2021-05-01T14:00:00+00:00,"This lesson introduces Git, a distributed version control system, and teaches how to use it to track changes, collaborate on projects, and manage the history of a codebase.",Beginner,,https://coderefinery.github.io/git-intro/,English,CodeRefinery Git Training Series,,"Git, version control, repositories, project management",Tutorial,https://creativecommons.org/licenses/by/4.0/,"GitHub, https://github.com, A platform for hosting Git repositories",,"The student will be able to use Git for version control, create and manage repositories, and track changes in a project.",,1.0.0,,introduction-to-git,https://education.ucospo.net/lessons/introduction-to-git
How to Contribute to Open Source,Contributing,Keep candidate,Contributing to a Project,14,13 – Introduction to Git,,,Moderate,,This resource gives a broad overview of terms and processes important to understand as a new contributor. It also includes suggestions on how to find a project to contribute to. ,,https://opensource.guide/how-to-contribute/,,,,,,,,,,,,,,,,"Maybe not relevant for researchers, but useful for students as a self-guided entry point",,,,,,,,,,how-to-contribute-to-open-source,https://education.ucospo.net/lessons/how-to-contribute-to-open-source
Continuous Integration and Delivery with GitHub Actions,DevOps,Keep candidate,Maintaining and Sustaining Software ,15,13 - Introduction to Git | 10 - Python Packaging,"Distinguish between Continuous Integration (CI), Continuous Delivery, and Continuous Deployment.
Identify types of ""breaking changes"" in different development contexts.
Define deployment in the context of CI/CD and recognize real-world examples.
Apply CI/CD principles to automate workflows beyond code testing (e.g., notifications, data fetching).
Explain why GitHub Actions may be preferred for CI/CD in open-source projects.
Configure a basic CI pipeline using GitHub Actions for code testing and packaging.
Use a matrix strategy in CI to test across multiple Python versions and platforms.
Automate both building and publishing artifacts—like Python packages—using GitHub Actions.
Add and configure status badges to visualize CI/CD workflow health.",,High,,"This tutorial introduces continuous integration (CI) and continuous delivery (CD) practices in software development. It covers how to automate testing, building, and deployment using tools like GitHub Actions.",,https://intersect-training.org/CI-CD/,"Maintainer, Contributor","Software Developers, PhD Students, DevOps Engineers","Intersect Team, intersect@training.org","Git, CI/CD concepts, software development",,active,2023-01-25T10:50:13+00:00,2023-03-20T14:40:12+00:00,2023-04-01T14:40:12+00:00,This lesson covers how to set up continuous integration and continuous delivery pipelines for automated testing and deployment in software projects.,Intermediate,http://ci-cd-guide.io,,English,DevOps Essentials Series,,"CI, CD, continuous integration, continuous delivery, GitHub Actions, automation",Tutorial,https://creativecommons.org/licenses/by/4.0/,"GitHub Actions, https://github.com/features/actions, Automation for CI/CD on GitHub",,"The student will be able to set up CI/CD pipelines for their projects and automate tests, builds, and deployments.",,1.2.0,,continuous-integration-and-delivery-with-github-actions,https://education.ucospo.net/lessons/continuous-integration-and-delivery-with-github-actions
CI/CD for Research Software with GitLab CI,DevOps,Keep candidate,Maintaining and Sustaining Software ,16,13 - Introduction to Git | 10 - Python Packaging | 17 - Unit Testing and TDD in Python,,,Moderate,,This lesson introduces Continuous Integration and Continuous Delivery (CI/CD) practices with a focus on research software. It covers tools such as GitLab CI and explains how to automate testing and deployment.,,https://hsf-training.github.io/hsf-training-cicd/,"Maintainer, Contributor","Researchers, Software Developers, HPC Engineers",HSF Training Team,"Git, CI/CD concepts, research software development",,active,2020-11-01T09:00:00+00:00,2023-01-15T14:20:12+00:00,2021-01-05T14:00:00+00:00,"This lesson covers the implementation of CI/CD pipelines in research software projects, focusing on automating tests, builds, and deployments using GitLab CI.",Intermediate,,https://hsf-training.github.io/hsf-training-cicd/,English,HSF Training CI/CD Series,"Duplicates Line 9 resource: ""Continuous Integration and Delivery with GitHub Actions"", plus adds content (maybe too much?) - one should be removed","CI/CD, GitLab CI, continuous integration, continuous delivery, research software",Tutorial,https://creativecommons.org/licenses/by/4.0/,"GitLab CI, https://about.gitlab.com/stages-devops-lifecycle/continuous-integration/, A CI/CD tool for automating tests and deployments.",,The student will be able to set up and automate CI/CD pipelines for research software using GitLab CI.,,1.0.0,,cicd-for-research-software-with-gitlab-ci,https://education.ucospo.net/lessons/cicd-for-research-software-with-gitlab-ci
Unit Testing and TDD in Python,"Etc., Software Development Best Practices",Keep candidate,Maintaining and Sustaining Software ,17,48 - Intermediate Python,"Identify the purpose and benefits of testing in software development.
Describe different types of tests (e.g., unit tests, integration tests, functional tests).
Recognize common testing frameworks and tools (e.g., pytest, unittest).
List best practices for writing clear, maintainable tests.
Identify how to run tests locally and in automated environments.
Describe how testing fits into continuous integration workflows.
Recognize the role of testing in improving software quality and sustainability.",,Moderate,,"This tutorial introduces software testing, focusing on unit testing and test-driven development (TDD) in Python. It explains how to write tests, run them, and integrate them into the development process.",,https://intersect-training.org/testing/instructor/,"Maintainer, Contributor","Software Developers, PhD Students, Open Source Contributors","Intersect Team, intersect@training.org","Python, basic understanding of software development",,active,2023-02-18T09:22:13+00:00,2023-05-25T14:35:12+00:00,2023-06-01T14:35:12+00:00,"This lesson covers how to write and run unit tests in Python, including an introduction to test-driven development (TDD) and its benefits.",Intermediate,http://testing-guide.io,,English,Software Quality Assurance Series,,"testing, unit tests, Python, TDD",Tutorial,https://creativecommons.org/licenses/by/4.0/,"pytest, https://docs.pytest.org, A testing framework for Python",,The student will be able to write and run unit tests in Python and understand the principles of test-driven development.,,1.0.0,,unit-testing-and-tdd-in-python,https://education.ucospo.net/lessons/unit-testing-and-tdd-in-python
Starting an Open Source Project,Maintaining,Keep candidate,Maintaining and Sustaining Software ,18,13 - Introduction to Git | 33 - Understanding Software Licensing,,,Core,,"Learn the foundational steps for launching a successful open source project, from defining its purpose and choosing a license to setting up version control and creating a contributor-friendly environment.",,https://opensource.guide/starting-a-project/,"Contributor, Maintainer","Developers, Communities",GitHub,,,,,,,Launching a successful open source project involves more than just code. Start your journey here.,Beginner,,,"English, Chinese (Traditional)/繁體中文, Chinese (Simplified) / 简体中文, French/Français, Turkish/Türkçe, Persian/Farsi, Tamil/தமிழ், Spanish/Español, Swahili, Hindi, Russian/Русский, Hungarian/Magyar, Romanian, Bengali/Bangla, Portuguese, Bulgarian/Български, Polish, Nigerian Pidgin, German/Deutsch, Dutch, Greek/Ελληνικά, Malay, Japanese/日本語, Korean/한국어, Italian, Indonesian",Open Source Guides,,"starting, open source, launch",Guide,CC-BY-4.0,These guides are available in over 20 languages.,,,,,,starting-an-open-source-project,https://education.ucospo.net/lessons/starting-an-open-source-project
Finding Users for Your Project,Maintaining,Keep candidate,Maintaining and Sustaining Software ,19,18 - Starting an Open Source Project,,,Core,,"This guide explores strategies to attract and grow a user base for your open source project. It covers techniques such as improving discoverability, engaging with communities, and leveraging social platforms for outreach.",,https://opensource.guide/finding-users/,"Community Manager, User/Consumer","Developers, Communities",GitHub,,,,,,,Launching a successful open source project involves more than just code. Start your journey here.,Beginner,,,"English, Persian/Farsi, French/Français, Chinese (Traditional)/繁體中文, Chinese (Simplified) / 简体中文, Spanish/Español, Turkish/Türkçe, Greek/Ελληνικά, Tamil/தமிழ், German/Deutsch, Swahili, Bengali/Bangla, Russian/Русский, Bulgarian/Български, Romanian, Portuguese, Polish, Nigerian Pidgin, Dutch, Malay, Korean/한국어, Japanese/日本語, Italian, Indonesian, Hungarian/Magyar, Hindi",Open Source Guides,,"users, adoption, promotion",Guide,CC-BY-4.0,These guides are available in over 20 languages.,,,,,,finding-users-for-your-project,https://education.ucospo.net/lessons/finding-users-for-your-project
Metrics,Maintaining,Keep candidate,Maintaining and Sustaining Software ,20,18 - Starting an Open Source Project,,,Core,,"Understand the importance of tracking and analyzing metrics to evaluate the health and success of your open source project. This guide highlights key metrics, tools, and practices to monitor project activity and community growth.",,https://opensource.guide/metrics/,"Maintainer, Contributor","Developers, Maintainers",GitHub,,,,,,,Tracking the success of your project helps you make informed decisions and communicate impact effectively.,Intermediate,,,"English, Chinese (Traditional)/繁體中文, Chinese (Simplified) / 简体中文, Turkish/Türkçe, Greek/Ελληνικά, Spanish/Español, Persian/Farsi, French/Français, Tamil/தமிழ், German/Deutsch, Swahili, Russian/Русский, Bulgarian/Български, Romanian, Portuguese, Bengali/Bangla, Polish, Hindi, Nigerian Pidgin, Dutch, Malay, Korean/한국어, Japanese/日本語, Italian, Indonesian, Hungarian/Magyar",Open Source Guides,,"metrics, project success, impact",Guide,CC-BY-4.0,These guides are available in over 20 languages.,,,,,,metrics,https://education.ucospo.net/lessons/metrics
Best Practices for Maintainers,Maintaining,Keep candidate,Maintaining and Sustaining Software ,21,1 - Building Community | 7 - Issue Tracking with GitHub,,,Core,,"This guide provides essential practices for open source project maintainers to ensure sustainability, manage contributions effectively, and foster a welcoming project environment. Topics include documentation, issue tracking, and communication strategies.",,https://opensource.guide/best-practices/,"Maintainer, Community Manager","Individuals, Companies",GitHub,,,,,,,"Making your life easier as an open source maintainer, from documenting processes to leveraging your community.",Intermediate,,,"English, Bulgarian/Български, Bengali/Bangla, German/Deutsch, Greek/Ελληνικά, Spanish/Español, Indonesian, Hungarian/Magyar, Hindi, French/Français, Persian/Farsi, Italian, Chinese (Traditional)/繁體中文, Korean/한국어, Chinese (Simplified) / 简体中文, Japanese/日本語, Portuguese, Russian/Русский, Swahili, Tamil/தமிழ், Turkish/Türkçe, Romanian, Polish, Nigerian Pidgin, Dutch, Malay",Open Source Guides,,"best practices, maintainers, community",Guide,CC-BY-4.0,These guides are available in over 20 languages.,,,,,,best-practices-for-maintainers,https://education.ucospo.net/lessons/best-practices-for-maintainers
Effective Code Review,Maintaining,Keep candidate,Maintaining and Sustaining Software ,22,8 - Collaborative Git for Teams,"Identify the purpose and benefits of code review in collaborative software development.
Describe the typical workflow for conducting a code review.
Recognize best practices for giving constructive, actionable feedback.
List common pitfalls to avoid when reviewing code.
Identify how to prepare code for review to facilitate efficient feedback.
Describe the role of code review in maintaining project standards and quality.
Recognize how to use code review tools effectively within version control platforms.
",,High,,"This tutorial covers the principles and practices of code review, focusing on collaborative software development. It explains how to conduct code reviews effectively, provide feedback, and integrate changes.",,https://intersect-training.org/Code-Review/,"Maintainer, Contributor","Software Developers, PhD Students, Open Source Contributors","Intersect Team, intersect@training.org","Git, collaborative coding",,active,2023-04-12T10:45:13+00:00,2023-06-20T14:40:12+00:00,2023-06-20T14:40:12+00:00,"This lesson teaches best practices for conducting and participating in code reviews, emphasizing clear communication and collaborative problem solving.",Intermediate,http://code-review-guide.io,,English,Collaborative Development Series,,"code review, software development, feedback, Git",Tutorial,https://creativecommons.org/licenses/by/4.0/,"GitHub Code Review, https://github.com/features/code-review, GitHub's code review feature",,"The student will be able to conduct a code review, provide constructive feedback, and manage changes.",,1.1.0,,effective-code-review,https://education.ucospo.net/lessons/effective-code-review
Python Package Development Best Practices,"Packaging, Python",Keep candidate,Maintaining and Sustaining Software ,23,"11,12","Use conda to create an environment and install packages.
Set up credentials for GitHub.
Explain Python package structure.
Use the CMS CookieCutter to build a Python package.
Explain the purpose of version control.
Introduce common git commands.
Understand how to create a commit.
Understand how to view diffs and see previous versions of files.
Explain reasons to use GitHub.
Learn about collaboration models.
Learn what a fork is on GitHub
Learn how to open a pull request
Learn how to raise exceptions.
Understand how to follow PEP8 style for Python.
Understand what docstrings are and why they are important.
Learn to write docstrings in numpy style.
Break code into modules and subpackages based on functionality.
Understand how the __init__.py file affects your Python package.
Learn about type hinting in Python.
Learn the syntax to utilize type hinting in Python.
Explain in-code documentation
Explain documentation tools like Read The Docs
Explain the overall structure of testing.
Explain the reasons why testing is important.
Understand how to write tests using the pytest framework.
Explain the concept and benefits of continuous integration.
Introduce the GitHub Marketplace as a one-stop shop for continuous integration services.
Demonstrate how to setup continuous integration using GitHub Actions.
Familiarize learners with YAML configuration files.",,High,,"This lesson introduces best practices for developing Python packages, covering topics like structuring packages, writing tests, and managing dependencies for scientific software.",,https://education.molssi.org/python-package-best-practices/,"Contributor, Maintainer","Python Developers, Researchers, Software Engineers",MolSSI Education Team,Intermediate knowledge of Python and package management,,active,2020-10-01T09:00:00+00:00,2023-03-10T14:40:12+00:00,2020-11-01T14:00:00+00:00,"This lesson covers best practices for building Python packages, focusing on scientific software. It explains how to structure packages, write tests, manage dependencies, and distribute packages via PyPI.",Intermediate,,https://education.molssi.org/python-package-best-practices/,English,MolSSI Python Best Practices Series,intermediate experience scripting in Python;  lesson for how to make their scripts into a software package.  Lesson built around best practices from MolSSI ( computational molecular science),"Python, packaging, best practices, dependencies, testing, PyPI",Tutorial,https://creativecommons.org/licenses/by/4.0/,"PyPI, https://pypi.org, A repository for Python packages",,"The student will be able to structure Python packages, write tests, manage dependencies, and publish scientific software packages on PyPI.",,1.0.0,,python-package-development-best-practices,https://education.ucospo.net/lessons/python-package-development-best-practices
"Building Better Research Software
",Research,Keep candidate,Maintaining and Sustaining Software ,24,"10, 11, 23, 39 - This is a python based course
9, 13
36, 37

Course lists pre-requisites like version control in git and command line, but the course does cover the information with exercises for the student. ","For researchers wanting to adhere to FAIR practies.  Course provides code for exercises.
Introduce what FAIR means especially in relationship to code written for research purposes.
Course is comprehensive covering the research code lifecylce, describing good practices at each stage:
 Creating a github project (along with practices to help with version control); 
Practices to help with reproductibility (eg creating reproducible environment for other reseaerches, dependencies trees, VMs); 
Practices to annotate code to ensure that others can understand and use the code;
Code structure recommendations; Testing and Documentation practices",,Core,,"This short course is teaching tools and practices for producing and sharing quality, sustainable and FAIR (Findable, Accessible, Interoperable and Reusable) research software to support open and reproducible research. The course can be delivered over 2 full or 4 half days.",,https://carpentries-incubator.github.io/better-research-software/,"Contributor, Maintainer",,The Carpentries Incubator,,Todd ,pre-alpha,,,,,Intermediate,,https://carpentries-incubator.github.io/better-research-software,,,,english fair fair-software research-software,,CC-BY,,,,,,,building-better-research-software,https://education.ucospo.net/lessons/building-better-research-software
